Fecha;VAL356CI8017-Conductividad;VAL356M003-Carga Motor;VAL356M014-Carga Motor;VAL356M015-Carga Motor;VAL356PI8026-Ind.Presi—n;VAL356PIC8025-Ind.Presi—n;VAL356TI8015-Ind.Temperatura;VAL356TIC8014-Ind.Temperatura;Estado
06-07-2012 21:38;3,2;71,2823994;61,3239092;45,9518558;20,2984162;20;78,8221534;127,9783782;0
06-07-2012 23:38;3,3;72,2134703;64,1122478;45,4073889;20,133411;20;79,2452887;128,0514469;0
07-07-2012 1:38;3,3;72,9661911;55,9353292;43,8384114;19,9803286;20;80,6633894;128,04523;0
07-07-2012 3:38;3,3;72,9358508;53,4661458;43,8300886;19,917039;20;79,7502531;127,8686823;0
07-07-2012 5:38;3,4;73,4412897;58,1842778;44,3245556;20,0611378;20;78,8795179;127,7020155;0
07-07-2012 7:38;3,3;74,9495106;57,3159722;44,7138664;20,2208744;20;78,3669111;127,8008164;0
07-07-2012 9:38;3,3;71,8374063;60,8720347;43,9949253;20,3117289;20;78,5207412;127,9950456;0
07-07-2012 11:38;3,3;70,5623269;69,5672331;43,7395764;20,2033257;20;80,7005415;128,1068234;0
07-07-2012 13:38;3,3;72,1873235;70,1086003;44,1402553;20,0828818;20;81,2978488;128,0414697;0
07-07-2012 15:38;3,3;72,5978389;66,5830525;44,3516389;19,9804235;20;80,5550113;127,9758015;0
07-07-2012 17:38;3,3;72,4321269;67,2404444;44,1796336;19,8866697;20;81,4988284;128,0061936;0
07-07-2012 19:38;3,3;72,0083781;68,2707947;44,7532708;19,8146446;20;80,7060604;128,0711166;0
07-07-2012 21:38;3,3;72,9974378;62,8448611;45,4865556;19,8054749;20;80,0588289;128,1754238;0
07-07-2012 23:38;3,4;71,6198869;64,3239861;45,0851961;19,8019663;20;80,1912433;128,3643405;0
08-07-2012 1:38;3,2;71,0214603;70,0235108;44,3583333;19,8539628;20;80,4392101;128,5463419;0
08-07-2012 3:38;3,3;70,700455;71,2578056;44,3120106;19,9328225;20;80,7520637;128,5623615;0
08-07-2012 5:38;3,3;72,0406178;65,7778781;45,0500225;19,993954;20;81,1228645;128,5187153;0
08-07-2012 7:38;3,1;73,0059986;66,6047547;45,5523333;20,0038025;20;81,2523342;128,5148759;0
08-07-2012 9:38;2,9;74,2393558;63,0790061;45,6782447;20,0424214;20;80,0914863;128,5965542;0
08-07-2012 11:38;3;72,0408767;60,3751361;44,8823958;19,7548008;20;79,4938106;128,6675517;0
08-07-2012 13:38;3;70,2083333;61,8023739;44,7740886;19,7692135;20;79,4936031;128,5080623;0
08-07-2012 15:38;3;71,2023733;65,5009614;45,1161597;19,8053501;20;79,4840881;128,2657232;0
08-07-2012 17:38;3,1;72,2428767;65,3024692;44,3518664;19,9475221;20;79,4304002;128,1725051;0
